time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-31 00:00:00+00:00,24,18,836,203
2023-02-01 00:00:00+00:00,14,9,333,105
2023-02-02 00:00:00+00:00,16,11,219,85
2023-02-03 00:00:00+00:00,23,17,213,61
2023-02-04 00:00:00+00:00,17,10,172,51
2023-02-05 00:00:00+00:00,7,6,266,41
2023-02-06 00:00:00+00:00,6,6,109,48
2023-02-07 00:00:00+00:00,17,7,189,46
2023-02-08 00:00:00+00:00,14,10,266,58
2023-02-09 00:00:00+00:00,12,8,93,43
2023-02-10 00:00:00+00:00,6,6,221,49
2023-02-11 00:00:00+00:00,13,10,73,32
2023-02-12 00:00:00+00:00,8,8,214,41
2023-02-13 00:00:00+00:00,8,7,185,43
