time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-23 00:00:00+00:00,12,12,68,18
2025-11-24 00:00:00+00:00,10,10,54,16
2025-11-25 00:00:00+00:00,10,10,81,18
2025-11-26 00:00:00+00:00,12,12,118,21
2025-11-27 00:00:00+00:00,12,11,36,12
2025-11-28 00:00:00+00:00,9,9,116,35
2025-11-29 00:00:00+00:00,9,7,53,21
2025-11-30 00:00:00+00:00,7,7,44,19
2025-12-01 00:00:00+00:00,40,16,52,20
2025-12-02 00:00:00+00:00,30,13,62,22
2025-12-03 00:00:00+00:00,122,37,162,32
2025-12-04 00:00:00+00:00,12,12,37,15
2025-12-05 00:00:00+00:00,14,14,57,27
2025-12-06 00:00:00+00:00,10,10,63,16
