time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-31 00:00:00+00:00,16,15,57,13
2026-09-01 00:00:00+00:00,6,5,65,15
2026-09-02 00:00:00+00:00,41,7,15,9
2026-09-03 00:00:00+00:00,9,8,34,15
2026-09-04 00:00:00+00:00,14,7,69,15
2026-09-05 00:00:00+00:00,10,7,25,13
2026-09-06 00:00:00+00:00,8,8,30,12
2026-09-07 00:00:00+00:00,16,7,25,13
2026-09-08 00:00:00+00:00,18,9,43,17
2026-09-09 00:00:00+00:00,5,4,55,16
2026-09-10 00:00:00+00:00,23,11,25,11
2026-09-11 00:00:00+00:00,17,11,26,14
2026-09-12 00:00:00+00:00,9,8,34,11
2026-09-13 00:00:00+00:00,7,7,30,13
