referrer,views_total,views_unique
github.com,83,46
Google,29,14
unity.com,26,8
chatgpt.com,20,4
away.vk.com,17,1
teams.public.onecdn.static.microsoft,2,2
claude.ai,2,1
wx.mail.qq.com,1,1
