time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-03 00:00:00+00:00,8,7,222,44
2023-11-04 00:00:00+00:00,25,8,285,32
2023-11-05 00:00:00+00:00,9,4,125,31
2023-11-06 00:00:00+00:00,11,8,103,37
2023-11-07 00:00:00+00:00,38,9,257,47
2023-11-08 00:00:00+00:00,48,16,279,46
2023-11-09 00:00:00+00:00,6,5,347,45
2023-11-10 00:00:00+00:00,4,3,328,26
2023-11-11 00:00:00+00:00,6,5,88,20
2023-11-12 00:00:00+00:00,4,4,242,34
2023-11-13 00:00:00+00:00,10,8,318,48
2023-11-14 00:00:00+00:00,13,9,298,41
2023-11-15 00:00:00+00:00,18,12,269,50
2023-11-16 00:00:00+00:00,12,9,116,45
