time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-21 00:00:00+00:00,7,7,73,36
2025-05-22 00:00:00+00:00,11,5,62,20
2025-05-23 00:00:00+00:00,20,10,48,23
2025-05-24 00:00:00+00:00,11,5,25,13
2025-05-25 00:00:00+00:00,12,6,44,20
2025-05-26 00:00:00+00:00,21,9,38,25
2025-05-27 00:00:00+00:00,12,6,79,23
2025-05-28 00:00:00+00:00,13,7,93,38
2025-05-29 00:00:00+00:00,20,10,137,41
2025-05-30 00:00:00+00:00,13,5,108,21
2025-05-31 00:00:00+00:00,14,8,26,13
2025-06-01 00:00:00+00:00,24,8,36,17
2025-06-02 00:00:00+00:00,13,7,24,12
2025-06-03 00:00:00+00:00,3,3,113,28
