time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-13 00:00:00+00:00,13,9,36,14
2025-12-14 00:00:00+00:00,16,11,143,14
2025-12-15 00:00:00+00:00,9,9,107,31
2025-12-16 00:00:00+00:00,12,8,68,25
2025-12-17 00:00:00+00:00,10,5,26,20
2025-12-18 00:00:00+00:00,10,6,90,22
2025-12-19 00:00:00+00:00,14,10,112,21
2025-12-20 00:00:00+00:00,19,11,115,21
2025-12-21 00:00:00+00:00,19,9,58,25
2025-12-22 00:00:00+00:00,7,7,50,21
2025-12-23 00:00:00+00:00,8,8,56,26
2025-12-24 00:00:00+00:00,24,12,71,27
2025-12-25 00:00:00+00:00,11,8,13,11
2025-12-26 00:00:00+00:00,19,10,63,20
