referrer,views_total,views_unique
github.com,200,61
Google,99,32
unity.com,49,30
search.brave.com,37,4
chatgpt.com,11,3
Bing,5,4
yandex.ru,4,2
docs.unity3d.com,2,2
youtube.com,2,1
claude.ai,1,1
