time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-09 00:00:00+00:00,10,6,115,19
2025-02-10 00:00:00+00:00,13,7,75,38
2025-02-11 00:00:00+00:00,13,9,47,21
2025-02-12 00:00:00+00:00,9,5,34,19
2025-02-13 00:00:00+00:00,11,6,19,17
2025-02-14 00:00:00+00:00,7,4,72,19
2025-02-15 00:00:00+00:00,10,8,53,16
2025-02-16 00:00:00+00:00,6,6,91,21
2025-02-17 00:00:00+00:00,8,7,65,30
2025-02-18 00:00:00+00:00,11,6,118,26
2025-02-19 00:00:00+00:00,12,7,36,19
2025-02-20 00:00:00+00:00,7,5,50,18
2025-02-21 00:00:00+00:00,5,5,41,16
2025-02-22 00:00:00+00:00,3,2,37,18
