time_iso8601,stars_cumulative
2023-08-06 00:00:00+00:00,318
2023-08-07 00:00:00+00:00,319
2023-08-08 00:00:00+00:00,322
2023-08-09 00:00:00+00:00,323
2023-08-10 00:00:00+00:00,324
2023-08-13 00:00:00+00:00,325
2023-08-14 00:00:00+00:00,326
2023-08-15 00:00:00+00:00,327
2023-08-16 00:00:00+00:00,328
2023-08-18 00:00:00+00:00,329
2023-08-21 00:00:00+00:00,330
2023-08-22 00:00:00+00:00,332
2023-08-23 00:00:00+00:00,333
2023-08-24 00:00:00+00:00,335
2023-08-25 00:00:00+00:00,337
2023-08-27 00:00:00+00:00,338
2023-08-28 00:00:00+00:00,339
2023-08-29 00:00:00+00:00,342
2023-08-30 00:00:00+00:00,344
2023-08-31 00:00:00+00:00,346
2023-09-01 00:00:00+00:00,348
2023-09-08 00:00:00+00:00,349
2023-09-12 00:00:00+00:00,350
2023-09-15 00:00:00+00:00,351
2023-09-17 00:00:00+00:00,352
2023-09-18 00:00:00+00:00,353
2023-09-19 00:00:00+00:00,354
2023-09-26 00:00:00+00:00,355
2023-09-27 00:00:00+00:00,356
2023-09-28 00:00:00+00:00,357
2023-10-04 00:00:00+00:00,358
2023-10-08 00:00:00+00:00,359
2023-10-09 00:00:00+00:00,360
2023-10-12 00:00:00+00:00,362
2023-10-15 00:00:00+00:00,364
2023-10-16 00:00:00+00:00,365
2023-10-19 00:00:00+00:00,366
2023-10-20 00:00:00+00:00,367
2023-10-24 00:00:00+00:00,368
2023-10-26 00:00:00+00:00,369
2023-10-29 00:00:00+00:00,370
2023-10-31 00:00:00+00:00,371
2023-11-03 00:00:00+00:00,375
2023-11-07 00:00:00+00:00,376
2023-11-08 00:00:00+00:00,377
2023-11-09 00:00:00+00:00,378
2023-11-12 00:00:00+00:00,379
2023-11-13 00:00:00+00:00,380
2023-11-14 00:00:00+00:00,381
2023-11-15 00:00:00+00:00,382
2023-11-17 00:00:00+00:00,383
2023-11-18 00:00:00+00:00,385
2023-11-19 00:00:00+00:00,386
2023-11-20 00:00:00+00:00,387
2023-11-22 00:00:00+00:00,388
2023-11-23 00:00:00+00:00,390
2023-11-24 00:00:00+00:00,391
2023-11-26 00:00:00+00:00,392
2023-11-29 00:00:00+00:00,393
2023-12-01 00:00:00+00:00,394
2023-12-02 00:00:00+00:00,396
2023-12-04 00:00:00+00:00,398
2023-12-07 00:00:00+00:00,399
2023-12-08 00:00:00+00:00,400
2023-12-09 00:00:00+00:00,401
2023-12-11 00:00:00+00:00,402
2023-12-12 00:00:00+00:00,403
2023-12-13 00:00:00+00:00,404
2023-12-14 00:00:00+00:00,407
2023-12-17 00:00:00+00:00,409
2023-12-18 00:00:00+00:00,410
2023-12-23 00:00:00+00:00,411
2023-12-28 00:00:00+00:00,412
2023-12-29 00:00:00+00:00,414
2023-12-30 00:00:00+00:00,415
2024-01-02 00:00:00+00:00,416
2024-01-03 00:00:00+00:00,418
2024-01-04 00:00:00+00:00,419
2024-01-05 00:00:00+00:00,420
2024-01-06 00:00:00+00:00,422
2024-01-08 00:00:00+00:00,423
2024-01-09 00:00:00+00:00,424
2024-01-12 00:00:00+00:00,425
2024-01-13 00:00:00+00:00,426
2024-01-15 00:00:00+00:00,427
2024-01-18 00:00:00+00:00,430
2024-01-19 00:00:00+00:00,431
2024-01-20 00:00:00+00:00,432
2024-01-21 00:00:00+00:00,433
2024-01-24 00:00:00+00:00,435
2024-01-25 00:00:00+00:00,436
2024-01-30 00:00:00+00:00,437
2024-02-01 00:00:00+00:00,439
2024-02-02 00:00:00+00:00,440
2024-02-03 00:00:00+00:00,441
2024-02-06 00:00:00+00:00,442
2024-02-09 00:00:00+00:00,443
2024-02-10 00:00:00+00:00,444
2024-02-12 00:00:00+00:00,445
2024-02-17 00:00:00+00:00,446
2024-02-19 00:00:00+00:00,449
2024-02-20 00:00:00+00:00,450
2024-02-22 00:00:00+00:00,452
2024-02-26 00:00:00+00:00,453
2024-02-29 00:00:00+00:00,455
2024-03-01 00:00:00+00:00,456
2024-03-03 00:00:00+00:00,457
2024-03-05 00:00:00+00:00,459
2024-03-06 00:00:00+00:00,460
2024-03-08 00:00:00+00:00,462
2024-03-11 00:00:00+00:00,465
2024-03-12 00:00:00+00:00,467
2024-03-15 00:00:00+00:00,468
2024-03-17 00:00:00+00:00,470
2024-03-19 00:00:00+00:00,471
2024-03-22 00:00:00+00:00,473
2024-03-23 00:00:00+00:00,474
2024-03-29 00:00:00+00:00,475
2024-03-31 00:00:00+00:00,476
2024-04-03 00:00:00+00:00,479
2024-04-04 00:00:00+00:00,480
2024-04-07 00:00:00+00:00,481
2024-04-10 00:00:00+00:00,482
2024-04-11 00:00:00+00:00,483
2024-04-14 00:00:00+00:00,484
2024-04-15 00:00:00+00:00,485
2024-04-16 00:00:00+00:00,487
2024-04-17 00:00:00+00:00,488
2024-04-19 00:00:00+00:00,489
2024-04-23 00:00:00+00:00,490
2024-05-01 00:00:00+00:00,491
2024-05-05 00:00:00+00:00,492
2024-05-07 00:00:00+00:00,493
2024-05-10 00:00:00+00:00,494
2024-05-14 00:00:00+00:00,495
2024-05-22 00:00:00+00:00,496
2024-05-23 00:00:00+00:00,497
2024-05-24 00:00:00+00:00,498
2024-05-27 00:00:00+00:00,499
2024-05-28 00:00:00+00:00,500
2024-05-30 00:00:00+00:00,501
2024-06-03 00:00:00+00:00,502
2024-06-05 00:00:00+00:00,503
