time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-11 00:00:00+00:00,14,10,131,40
2023-04-12 00:00:00+00:00,10,10,139,33
2023-04-13 00:00:00+00:00,12,12,142,42
2023-04-14 00:00:00+00:00,18,15,174,54
2023-04-15 00:00:00+00:00,9,7,101,25
2023-04-16 00:00:00+00:00,10,10,218,39
2023-04-17 00:00:00+00:00,13,12,303,51
2023-04-18 00:00:00+00:00,8,7,187,45
2023-04-19 00:00:00+00:00,8,8,308,58
2023-04-20 00:00:00+00:00,12,10,218,47
2023-04-21 00:00:00+00:00,8,6,69,37
2023-04-22 00:00:00+00:00,6,6,62,28
2023-04-23 00:00:00+00:00,10,8,259,56
2023-04-24 00:00:00+00:00,24,13,182,72
2023-04-25 00:00:00+00:00,14,6,274,59
2023-04-26 00:00:00+00:00,7,7,134,37
2023-04-27 00:00:00+00:00,11,7,194,50
2023-04-28 00:00:00+00:00,9,8,139,48
2023-04-29 00:00:00+00:00,6,6,141,29
2023-04-30 00:00:00+00:00,9,8,182,31
2023-05-01 00:00:00+00:00,6,5,72,27
2023-05-02 00:00:00+00:00,7,6,165,39
2023-05-03 00:00:00+00:00,2,2,207,28
2023-05-04 00:00:00+00:00,9,8,315,46
2023-05-05 00:00:00+00:00,7,7,309,46
2023-05-06 00:00:00+00:00,9,8,113,44
2023-05-07 00:00:00+00:00,7,7,278,42
2023-05-08 00:00:00+00:00,13,10,130,42
2023-05-09 00:00:00+00:00,8,6,189,58
2023-05-10 00:00:00+00:00,12,10,293,58
2023-05-11 00:00:00+00:00,8,8,261,62
2023-05-12 00:00:00+00:00,7,5,222,44
2023-05-13 00:00:00+00:00,9,8,188,40
2023-05-14 00:00:00+00:00,6,6,173,21
2023-05-15 00:00:00+00:00,7,6,301,50
2023-05-16 00:00:00+00:00,6,6,293,27
2023-05-17 00:00:00+00:00,8,8,128,39
2023-05-18 00:00:00+00:00,8,6,158,43
2023-05-19 00:00:00+00:00,12,9,203,31
2023-05-20 00:00:00+00:00,13,10,256,34
2023-05-21 00:00:00+00:00,8,7,534,44
2023-05-22 00:00:00+00:00,13,9,122,42
2023-05-23 00:00:00+00:00,10,8,274,54
2023-05-24 00:00:00+00:00,10,7,179,31
2023-05-25 00:00:00+00:00,6,6,202,41
2023-05-26 00:00:00+00:00,12,11,183,52
2023-05-27 00:00:00+00:00,8,7,188,32
2023-05-28 00:00:00+00:00,5,5,147,24
2023-05-29 00:00:00+00:00,13,10,111,38
2023-05-30 00:00:00+00:00,4,4,165,42
2023-05-31 00:00:00+00:00,14,11,329,55
2023-06-01 00:00:00+00:00,18,15,623,94
2023-06-02 00:00:00+00:00,19,16,576,110
2023-06-03 00:00:00+00:00,20,14,361,75
2023-06-04 00:00:00+00:00,16,10,426,76
2023-06-05 00:00:00+00:00,28,21,468,97
2023-06-06 00:00:00+00:00,17,13,440,71
2023-06-07 00:00:00+00:00,16,12,282,75
2023-06-08 00:00:00+00:00,14,13,284,97
2023-06-09 00:00:00+00:00,299,36,298,75
2023-06-10 00:00:00+00:00,8,7,182,48
2023-06-11 00:00:00+00:00,30,17,189,40
2023-06-12 00:00:00+00:00,57,30,563,95
2023-06-13 00:00:00+00:00,14,12,398,81
2023-06-14 00:00:00+00:00,19,12,459,84
2023-06-15 00:00:00+00:00,15,14,459,83
2023-06-16 00:00:00+00:00,8,8,353,76
2023-06-17 00:00:00+00:00,6,6,435,50
2023-06-18 00:00:00+00:00,10,10,283,44
2023-06-19 00:00:00+00:00,27,19,353,76
2023-06-20 00:00:00+00:00,414,39,314,68
2023-06-21 00:00:00+00:00,59,19,292,68
2023-06-22 00:00:00+00:00,22,16,315,64
2023-06-23 00:00:00+00:00,18,15,311,70
2023-06-24 00:00:00+00:00,9,8,145,39
2023-06-25 00:00:00+00:00,15,12,319,62
2023-06-26 00:00:00+00:00,17,15,228,66
2023-06-27 00:00:00+00:00,27,21,362,77
2023-06-28 00:00:00+00:00,15,14,447,65
2023-06-29 00:00:00+00:00,10,8,309,68
2023-06-30 00:00:00+00:00,21,19,243,57
2023-07-01 00:00:00+00:00,9,8,225,36
2023-07-02 00:00:00+00:00,24,7,244,44
2023-07-03 00:00:00+00:00,25,15,373,75
2023-07-04 00:00:00+00:00,24,17,267,68
2023-07-05 00:00:00+00:00,9,8,443,76
2023-07-06 00:00:00+00:00,51,36,322,71
2023-07-07 00:00:00+00:00,8,8,277,63
2023-07-08 00:00:00+00:00,5,5,279,46
2023-07-09 00:00:00+00:00,17,14,398,53
2023-07-10 00:00:00+00:00,13,11,521,70
2023-07-11 00:00:00+00:00,5,4,407,55
2023-07-12 00:00:00+00:00,4,4,296,72
2023-07-13 00:00:00+00:00,9,9,171,52
2023-07-14 00:00:00+00:00,7,7,352,55
2023-07-15 00:00:00+00:00,11,9,405,35
2023-07-16 00:00:00+00:00,4,4,328,42
2023-07-17 00:00:00+00:00,21,14,185,55
2023-07-18 00:00:00+00:00,25,15,197,62
2023-07-19 00:00:00+00:00,13,11,245,38
2023-07-20 00:00:00+00:00,13,8,420,48
2023-07-21 00:00:00+00:00,9,9,379,44
2023-07-22 00:00:00+00:00,4,4,285,27
2023-07-23 00:00:00+00:00,5,5,171,30
2023-07-24 00:00:00+00:00,5,4,373,55
2023-07-25 00:00:00+00:00,8,6,446,52
2023-07-26 00:00:00+00:00,8,7,291,61
2023-07-27 00:00:00+00:00,10,8,393,50
2023-07-28 00:00:00+00:00,6,5,229,52
2023-07-29 00:00:00+00:00,10,7,316,38
2023-07-30 00:00:00+00:00,8,8,288,36
2023-07-31 00:00:00+00:00,11,10,302,54
2023-08-01 00:00:00+00:00,10,6,211,47
2023-08-02 00:00:00+00:00,13,12,368,50
2023-08-03 00:00:00+00:00,10,9,198,55
2023-08-04 00:00:00+00:00,7,7,388,47
2023-08-05 00:00:00+00:00,17,14,399,32
2023-08-06 00:00:00+00:00,11,11,331,41
2023-08-07 00:00:00+00:00,29,21,230,53
2023-08-08 00:00:00+00:00,14,13,291,62
2023-08-09 00:00:00+00:00,11,10,205,50
2023-08-10 00:00:00+00:00,12,10,154,53
2023-08-11 00:00:00+00:00,9,9,329,56
